depth,xPixel,yPixel,R,leftLine,theta
1995.5,26,6702.5,7.4,0,1.2380952380952381
1997.5,34,6723.5,7.4,1,2.0
1999.5,44,6743.5,7.4,1,3.111111111111111
2001.5,52,6762.5,7.4,1,4.0
2003.5,172,6786.5,7.4,8,17.75
2005.0,28,6802.5,7.4,0,1.4285714285714286
2007.0,24,6823.5,7.4,0,1.0476190476190477
2009.0,44,6843.5,7.4,1,3.111111111111111
2011.0,52,6864.5,7.4,1,4.0
2013.0,24,6884.5,7.4,0,1.0476190476190477
2015.0,22,6905.5,7.4,0,0.8571428571428571
2017.0,120,6929.5,7.4,5,11.411764705882353
2019.0,32,6948.5,7.4,0,1.8095238095238095
2021.0,30,6968.5,7.4,0,1.619047619047619
2023.0,68,6991.5,7.4,2,5.6
2025.0,60,7011.5,7.4,2,4.8
2026.5,30,7027.5,7.4,0,1.619047619047619
2029.0,120,7052.5,7.4,5,11.411764705882353
2030.5,60,7070.5,7.4,2,4.8
2032.5,62,7090.5,7.4,2,5.0
2034.5,40,7110.5,7.4,1,2.6666666666666665
2035.5,22,7125.5,6.0,0,0.8571428571428571
2036.0,56,7129.5,7.4,2,4.4
2038.0,52,7149.5,7.4,2,4.0
2040.0,450,7168.5,7.4,30,60.44444444444444
2040.0,32,7170.5,7.4,0,1.8095238095238095
2041.5,424,7187.5,7.4,28,56.36363636363637
2042.0,24,7190.5,7.4,0,1.0476190476190477
2043.5,42,7209.5,7.4,1,2.888888888888889
2047.0,30,7243.5,7.4,0,1.619047619047619
2049.5,34,7271.5,7.4,1,2.0
2051.5,44,7290.5,7.4,1,3.111111111111111
2053.5,280,7311.5,7.4,16,32.714285714285715
2055.0,268,7331.5,7.4,15,30.923076923076923
2057.0,22,7350.5,7.4,0,0.8571428571428571
2059.5,24,7374.5,7.4,0,1.0476190476190477
2061.0,40,7392.5,7.4,1,2.6666666666666665
2063.0,42,7412.5,7.4,1,2.888888888888889
2064.5,28,7430.5,7.4,0,1.4285714285714286
2068.5,30,7470.5,7.4,0,1.619047619047619
2070.5,24,7491.5,7.4,0,1.0476190476190477
2072.5,70,7513.5,7.4,2,5.8
2074.5,54,7532.5,7.4,2,4.2
2076.0,28,7551.5,7.4,0,1.4285714285714286
2080.5,28,7595.5,7.4,0,1.4285714285714286
2082.0,44,7614.5,7.4,1,3.111111111111111
2084.0,32,7632.5,7.4,0,1.8095238095238095
2086.0,26,7654.5,7.4,0,1.2380952380952381
2087.0,68,7665.5,7.4,2,5.6
2091.5,54,7712.5,7.4,2,4.2
2093.5,42,7734.5,7.4,1,2.888888888888889
2096.5,98,7768.5,6.2,4,8.88888888888889
2097.5,80,7777.5,7.4,3,6.888888888888889
2099.5,24,7798.5,7.4,0,1.0476190476190477
2101.5,26,7819.5,7.4,0,1.2380952380952381
2103.5,26,7839.5,7.4,0,1.2380952380952381
2105.5,32,7861.5,7.4,0,1.8095238095238095
2107.0,18,7877.5,7.4,0,0.47619047619047616
2108.5,28,7895.5,7.4,0,1.4285714285714286
2111.5,26,7922.5,7.4,0,1.2380952380952381
2114.0,26,7952.5,7.4,0,1.2380952380952381
2117.0,60,7981.5,7.4,2,4.8
2119.0,146,8001.5,7.4,7,14.5
2120.5,42,8019.5,7.4,1,2.888888888888889
2122.5,30,8041.5,6.2,0,1.619047619047619
2122.5,80,8040.5,7.4,3,6.888888888888889
2124.5,72,8064.5,7.4,2,6.0
2126.5,44,8080.5,7.4,1,3.111111111111111
2129.5,54,8116.5,7.4,2,4.2
2132.0,68,8140.5,7.4,2,5.6
2136.0,78,8181.5,7.4,3,6.666666666666667
2137.0,408,8192.5,7.4,26,53.5
2137.5,66,8201.5,7.4,2,5.4
2137.5,40,8200.5,7.4,1,2.6666666666666665
2137.5,436,8200.5,7.4,29,58.54545454545455
2139.5,42,8220.5,7.4,1,2.888888888888889
2141.5,32,8240.5,7.4,0,1.8095238095238095
2143.5,34,8261.5,7.4,0,2.0
2145.5,22,8281.5,7.4,0,0.8571428571428571
2147.0,22,8301.5,7.4,0,0.8571428571428571
2149.0,28,8321.5,7.4,0,1.4285714285714286
2153.0,24,8360.5,7.4,0,1.0476190476190477
2155.0,22,8382.5,7.4,0,0.8571428571428571
2157.0,24,8404.5,7.4,0,1.0476190476190477
2159.0,36,8423.5,5.2,1,2.2222222222222223
2161.0,24,8444.5,7.4,0,1.0476190476190477
2164.0,48,8479.5,6.0,1,3.5555555555555554
2164.5,24,8482.5,7.4,0,1.0476190476190477
2168.0,24,8522.5,7.4,0,1.0476190476190477
2170.5,22,8545.5,7.4,0,0.8571428571428571
2172.0,34,8562.5,7.4,1,2.0
2172.0,10,8561.5,5.9,0,-0.2857142857142857
2174.5,20,8589.5,7.4,0,0.6666666666666666
2177.5,22,8622.5,7.4,0,0.8571428571428571
2179.0,4,8637.5,7.4,0,-0.8571428571428571
2179.5,24,8643.5,7.4,0,1.0476190476190477
2181.5,32,8664.5,7.4,0,1.8095238095238095
2185.5,36,8706.5,7.4,1,2.2222222222222223
2189.0,54,8742.5,7.4,2,4.2
2191.5,26,8767.5,7.4,0,1.2380952380952381
2193.5,20,8788.5,7.4,0,0.6666666666666666
2195.5,22,8810.5,7.4,0,0.8571428571428571
2197.5,28,8830.5,7.4,0,1.4285714285714286
2199.0,36,8849.5,7.4,1,2.2222222222222223
2201.0,26,8867.5,7.4,0,1.2380952380952381
2204.5,24,8905.5,7.4,0,1.0476190476190477
2206.5,26,8928.5,7.4,0,1.2380952380952381
2212.5,28,8990.5,7.4,0,1.4285714285714286
2214.5,16,9009.5,7.4,0,0.2857142857142857
2216.5,24,9032.5,7.4,0,1.0476190476190477
2218.5,36,9051.5,7.4,1,2.2222222222222223
2222.0,30,9089.5,7.4,0,1.619047619047619
2224.0,32,9111.5,7.4,0,1.8095238095238095
2226.0,28,9134.5,7.4,0,1.4285714285714286
2227.5,44,9150.5,7.4,1,3.111111111111111
2229.5,44,9170.5,7.4,1,3.111111111111111
2231.5,106,9190.5,7.4,4,9.777777777777779
2232.0,442,9195.5,7.4,29,59.63636363636363
2232.5,128,9200.5,6.0,6,12.352941176470589
2233.5,36,9211.5,7.4,1,2.2222222222222223
2235.5,44,9231.5,7.4,1,3.111111111111111
2237.0,240,9250.5,7.4,13,26.857142857142858
2239.0,92,9271.5,7.4,4,8.222222222222221
2241.0,24,9289.5,6.2,0,1.0476190476190477
2243.0,24,9311.5,7.4,0,1.0476190476190477
2245.0,24,9333.5,7.4,0,1.0476190476190477
2248.5,34,9370.5,7.4,1,2.0
2253.0,28,9415.5,7.4,0,1.4285714285714286
2256.5,24,9453.5,5.5,0,1.0476190476190477
2258.5,34,9476.5,7.4,0,2.0
2260.0,8,9491.5,5.5,0,-0.47619047619047616
2260.5,32,9496.5,7.4,0,1.8095238095238095
2264.0,24,9535.5,7.4,0,1.0476190476190477
2266.0,10,9556.5,7.4,0,-0.2857142857142857
2268.0,32,9574.5,7.4,0,1.8095238095238095
2270.0,54,9598.5,7.4,2,4.2
2270.0,34,9596.5,7.4,0,2.0
2272.0,62,9619.5,7.4,2,5.0
2274.0,50,9639.5,7.4,1,3.7777777777777777
2275.5,32,9654.5,7.4,0,1.8095238095238095
2277.5,30,9674.5,7.4,0,1.619047619047619
2279.5,26,9696.5,7.4,0,1.2380952380952381
2280.5,128,9707.5,7.4,6,12.352941176470589
2283.5,106,9739.5,7.4,4,9.777777777777779
2285.5,194,9760.5,7.4,10,20.533333333333335
2287.5,54,9779.5,7.4,2,4.2
2289.0,46,9798.5,7.4,1,3.333333333333333
2291.5,134,9820.5,7.4,6,13.058823529411764
2293.0,130,9841.5,7.4,6,12.588235294117647
2295.0,140,9861.5,7.4,6,13.764705882352942
2297.0,164,9883.5,7.4,8,16.75
2299.0,78,9901.5,7.4,3,6.666666666666667
2301.0,100,9922.5,7.4,4,9.11111111111111
2302.5,222,9940.5,7.4,12,24.4
2304.5,68,9959.5,7.4,2,5.6
2307.0,62,9984.5,7.4,2,5.0
2308.5,96,10002.5,7.4,4,8.666666666666666
2310.5,190,10021.5,7.4,9,20.0
2312.0,142,10040.5,7.4,7,14.0
2314.0,118,10059.5,7.4,5,11.176470588235293
2316.0,198,10079.5,7.4,10,21.066666666666666
2317.5,204,10099.5,7.4,10,21.866666666666667
2319.5,214,10119.5,7.4,11,23.285714285714285
2321.5,218,10139.5,7.4,11,23.857142857142858
2323.5,216,10161.5,7.4,11,23.571428571428573
