,xPixel,yPixel,R,upLine,leftLine,depth,dip_x,dip_azimuth_x,ang_nxt,ang_prev,dist_nxt,dist_prev,cosHit_nxt,cosHit_prev,an_diff,ap_diff,hitNext,hitPrev,dip_y,dip_azimuth_y,err
71,299.5,1752.5,6.3,17,17,1513.5,35.61538461538461,276.60031229186,257.53506,5.710602,97.29337,20.09975,1.9710693,0.9986083,19.065247594594382,89.11028951478062,False,False,35.8,281.0,0.024442709489666627
72,204.5,1773.5,8.4,17,11,1515.5,22.066666666666666,347.8672386821442,105.32152,77.535065,75.690155,97.29337,1.5037857,1.9710693,117.45427926219173,89.66782601512142,False,False,22.0,349.0,0.006293118432532196
73,277.5,1793.5,8.4,17,16,1517.5,32.357142857142854,327.40445993613565,261.75366,285.32153,139.44174,75.690155,2.5478961,1.5037857,65.65079782676065,42.08292673301065,False,False,32.5,325.0,0.013358110756309176
74,139.5,1813.5,8.4,17,6,1519.5,13.705882352941176,79.29326764078272,246.8014,81.75366,53.310413,139.44174,1.1816512,2.5478961,167.50813921956887,2.460394468592284,False,False,13.8,75.0,0.023851486893237312
75,90.5,1834.5,7.4,18,4,1521.5,8.055555555555555,329.31686208892654,237.99461,66.80139,37.735924,53.310413,1.017577,1.1816512,91.3222484414656,97.48452951263596,False,False,8.1,335.0,0.03157298839485255
76,58.5,1854.5,7.4,18,2,1523.5,4.65,42.837965800185536,119.9315,57.99463,38.078865,37.735924,1.0208726,1.017577,77.0935374957129,15.156663106064457,False,False,4.6,339.0,0.35465536555658633
77,91.5,1873.5,7.1,18,4,1525.5,8.166666666666666,219.95062376946868,180.0,299.93152,20.0,38.078865,0.98148245,1.0208726,39.95062376946868,79.98089478521882,False,False,8.1,2.0,0.7891632012807296
78,91.5,1893.5,7.4,18,4,1527.5,8.166666666666666,323.96211636390336,120.96377,0.0,40.81666,20.0,1.0489656,0.98148245,157.00165164146773,36.03788363609664,False,False,8.2,328.0,0.022432686867203542
79,126.5,1914.5,7.4,18,6,1529.5,12.176470588235293,313.25262491385695,249.67685,300.96378,57.58472,40.81666,1.2663908,1.0489656,63.57577554862257,12.288849279091323,False,False,12.0,316.0,0.015263194923016954
80,72.5,1934.5,7.4,19,3,1531.5,6.055555555555555,302.54313346381053,160.70995,69.67685,21.189621,57.58472,0.972516,1.2663908,141.8331877850996,127.13371590142384,False,False,6.2,300.0,0.014128519243391856
81,79.5,1954.5,7.4,19,3,1533.5,6.833333333333333,265.05991338864817,228.65222,340.70996,33.30165,21.189621,0.98046315,0.972516,36.40769170896067,75.65004754885183,False,False,7.0,271.0,0.03300048117417684
82,54.5,1976.5,7.4,19,2,1535.5,4.25,190.09347323832344,205.46333,48.65222,23.259407,33.30165,0.95815325,0.98046315,15.369859891559372,141.44125155863594,True,False,4.3,345.0,0.8605918153426475
83,44.5,1997.5,6.2,19,1,1538.0,3.166666666666667,62.401344613362525,142.59465,25.463318,21.400934,23.259407,0.9576855,0.95815325,80.19330565519215,36.93802674226879,False,False,3.3,70.0,0.042214752147985896
84,57.5,2014.5,7.4,19,2,1539.5,4.55,187.41610037581185,139.63547,322.59467,26.24881,21.400934,0.95192146,0.9576855,47.780632846514976,135.17856515153187,False,False,4.6,197.0,0.05324388680104527
85,74.5,2034.5,7.4,20,3,1541.5,6.277777777777778,291.8336420137642,200.85445,319.63547,22.472204,26.24881,0.9624841,0.95192146,90.97919560263136,27.8018255155327,False,True,6.5,296.0,0.023146433256865686
86,66.5,2055.5,7.4,20,2,1543.5,5.45,294.5110148762758,138.36646,20.854431,24.083189,22.472204,0.95492977,0.9624841,156.1445597981508,86.34341627606796,False,False,5.5,297.0,0.013827695131801142
87,82.5,2073.5,6.2,20,3,1545.5,7.166666666666667,207.05900712615778,171.8699,318.36646,21.213203,24.083189,0.95896363,0.95492977,35.189103561704655,111.30744795196722,False,False,7.4,214.0,0.03856107152134566
88,85.5,2094.5,7.4,20,3,1547.5,7.5,216.86720186343942,133.66779,351.8699,30.413813,21.213203,0.9631603,0.95896363,83.19941621890817,135.00270170101373,False,False,7.5,216.0,0.004817788130218995
89,107.5,2115.5,7.4,20,4,1549.5,9.944444444444445,238.2861847635322,105.32152,313.6678,75.690155,30.413813,1.5452155,0.9631603,132.96466681919625,75.38160088099906,False,False,10.1,242.0,0.020632306869265607
90,180.5,2135.5,7.4,21,9,1551.5,18.866666666666667,42.837965800185536,214.38034,285.32153,23.021729,75.690155,0.95932615,1.5452155,171.54237477598633,117.51643259706054,False,False,19.1,44.0,0.00645574555452476
91,167.5,2154.5,7.4,21,8,1553.5,17.1875,48.192711525208736,260.76443,34.38034,124.61541,23.021729,2.3736207,0.95932615,147.4282767107556,13.812370949036847,False,True,17.1,51.0,0.015596047082173768
92,44.5,2174.5,7.4,21,1,1555.5,3.166666666666667,32.12847435013915,118.21735,80.764435,46.52956,124.61541,1.1158737,2.3736207,86.08887184126706,48.63596046431397,False,False,3.2,29.0,0.01738041305632865
93,85.5,2196.5,7.4,21,3,1557.5,7.5,275.7694048386946,235.8403,298.21735,33.83785,46.52956,0.9843408,1.1158737,39.92910332502271,22.447941352711666,False,False,7.3,275.0,0.004274471326081021
94,57.5,2215.5,7.4,21,2,1559.5,4.55,21.418982900092765,239.30025,55.8403,37.215588,33.83785,1.0126814,0.9843408,142.11873570770996,34.4213186135791,False,False,4.6,26.0,0.025450094999484602
95,25.5,2234.5,7.4,22,0,1561.5,1.2272727272727273,101.7401687754407,108.138084,59.300232,61.03278,37.215588,1.3171328,1.0126814,6.397915636180414,42.43993684184693,False,False,1.4,100.0,0.009667604308003775
96,83.5,2253.5,7.4,22,3,1563.5,7.277777777777778,257.02779480111343,164.74489,288.1381,22.803509,61.03278,0.9605042,1.3171328,92.28290649544937,31.110297239902195,False,False,7.1,259.0,0.010956695549369833
97,89.5,2275.5,7.4,22,3,1565.5,7.944444444444445,265.05991338864817,101.706436,344.74487,113.35784,22.803509,2.1780837,0.9605042,163.3534772314216,79.68495965822683,False,False,8.0,271.0,0.03300048117417684
98,200.5,2298.5,7.4,22,10,1567.5,21.533333333333335,230.25406617599742,245.77226,281.70642,43.863426,113.35784,1.0834379,2.1780837,15.518196397244765,51.45235472244008,False,False,21.5,227.0,0.018078145422207904
99,160.5,2316.5,7.4,22,8,1569.5,16.3125,214.18982900092783,259.5085,65.77228,109.83624,43.863426,2.117332,1.0834379,45.318685403369045,148.41755116889658,False,False,16.3,212.0,0.012165716671821277
100,52.5,2336.5,7.4,23,2,1571.5,4.05,58.90220297525513,130.03026,79.508514,32.649654,109.83624,0.97600925,2.117332,71.1280552034558,20.60631142904174,False,False,3.9,60.0,0.006098872359693688
101,77.5,2357.5,7.4,23,3,1573.5,6.611111111111111,45.51533866269714,112.203476,310.03027,52.924473,32.649654,1.2003323,0.97600925,66.6881372894513,95.48506522519716,False,False,6.7,48.0,0.01380367409612704
102,126.5,2377.5,7.4,23,6,1575.5,12.176470588235293,34.80584721265075,220.1009,292.2035,24.839485,52.924473,0.9530366,1.2003323,174.70494084058043,102.60235600171325,False,False,12.1,44.0,0.05107862659638474
103,110.5,2396.5,7.4,23,5,1577.5,10.294117647058824,58.90220297525513,243.43495,40.10089,42.48529,24.839485,1.06747,0.9530366,175.46725119302857,18.801311861973886,False,True,10.4,56.0,0.016123349862528533
104,72.5,2415.5,7.4,23,3,1579.5,6.055555555555555,66.93432156278992,177.2737,63.434937,21.023796,42.48529,0.97411084,1.06747,110.33937533662413,3.4993850393524326,False,False,6.0,64.0,0.01630178645994407
105,73.5,2436.5,7.4,24,3,1581.5,6.166666666666667,74.96644015032471,148.24052,357.27368,24.698177,21.023796,0.9533173,0.97411084,73.27408414166746,77.69275850969973,False,False,6.2,73.0,0.01092466750180405
106,86.5,2457.5,7.4,24,3,1583.5,7.611111111111111,91.03067732539431,210.96376,328.24054,23.323807,24.698177,0.9578547,0.9533173,119.93308305058224,122.79013777461307,False,False,7.6,94.0,0.016496237081142655
107,74.5,2477.5,7.4,24,3,1585.5,6.277777777777778,91.03067732539431,231.07245,30.963745,33.42155,23.323807,0.9813137,0.9578547,140.04177140507443,60.06693220820681,False,False,6.5,93.0,0.0109406815255871
108,48.5,2498.5,7.4,24,1,1587.5,3.611111111111111,91.03067732539431,146.30992,51.07245,21.633308,33.42155,0.9685971,0.9813137,55.279243939254116,39.95822859492557,False,False,3.5,92.0,0.005385125970031545
109,60.5,2516.5,7.4,24,2,1589.5,4.85,5.354745725023191,151.38954,326.30994,25.059929,21.633308,0.95266306,0.9685971,146.03479590095338,39.04480920158568,False,False,4.8,15.0,0.05358474597209345
110,72.5,2538.5,8.4,25,3,1591.5,6.055555555555555,20.46277874600845,114.94392,331.38953,47.423622,25.059929,1.1081856,0.95266306,94.48113757479234,49.07325237882094,False,False,6.1,23.0,0.014095673633286449
111,115.5,2558.5,7.4,25,5,1593.5,10.882352941176471,5.354745725023191,113.0513,294.9439,51.078373,47.423622,1.1751218,1.1081856,107.69655432380495,70.41083703361693,False,False,10.8,14.0,0.048029190416537894
112,162.5,2578.5,8.4,25,8,1595.5,16.5625,168.81792465456977,104.19109,293.0513,89.73851,51.078373,1.7243127,1.1751218,64.62683120974555,124.23337539425836,False,False,16.6,166.0,0.015655136969832027
113,249.5,2600.5,8.2,25,14,1597.5,28.214285714285715,332.9349378689143,251.84271,284.1911,195.74728,89.73851,3.5363436,1.7243127,81.09222546657054,48.74383679469554,False,False,28.3,331.0,0.010749654827301608
114,63.5,2661.5,7.1,26,2,1603.5,5.15,225.38150336871482,174.55966,71.84271,21.095022,195.74728,0.9698927,3.5363436,50.82184150348044,153.53879096637107,False,False,5.3,236.0,0.05899164795158435
115,65.5,2682.5,7.4,26,2,1605.5,5.35,259.705167663625,226.21887,354.55966,33.24154,21.095022,0.98004013,0.9698927,33.48629559331249,94.85449420160938,False,False,5.2,259.0,0.003917598131249949
116,41.5,2705.5,7.4,26,1,1607.5,2.8333333333333335,187.41610037581185,94.21909,46.218872,244.66304,33.24154,4.515393,0.98004013,93.19700705305794,141.19722830549935,False,False,2.8,187.0,0.002311668754510284
117,285.5,2723.5,7.3,26,16,1609.5,33.5,21.519541408456888,262.71103,274.2191,173.40128,244.66304,3.2471223,4.515393,118.80851235572254,107.30045571509754,False,False,33.7,23.0,0.008224769953017288
118,113.5,2745.5,8.4,27,5,1611.5,10.647058823529411,327.40445993613565,113.12085,82.71103,96.77293,173.40128,1.837661,3.2471223,145.71638967323935,115.30656911659872,False,False,11.0,333.0,0.031086333688135268
119,202.5,2783.5,7.3,27,10,1615.5,21.8,40.34914014085666,133.60281,293.12085,29.0,96.77293,0.9573116,1.837661,93.25367357984646,107.22829053148166,False,False,21.9,354.0,0.25749522300475924
120,223.5,2803.5,8.2,27,12,1617.5,24.6,175.50058740376932,119.57784,313.6028,42.544094,29.0,1.0563744,0.9573116,55.92274469136697,138.1022263169338,False,False,24.7,176.0,0.0027745144235037994
121,260.5,2824.5,8.4,27,14,1619.5,29.785714285714285,74.1775729542806,262.50415,299.57785,153.31015,42.544094,2.783651,1.0563744,171.6734225636556,134.59972261248373,False,False,30.0,74.0,0.0009865164126700342
122,108.5,2844.5,8.4,28,5,1621.5,10.058823529411764,69.0618782677785,160.70995,82.50415,21.189621,153.31015,0.9846345,2.783651,91.64806741093241,13.442272122846504,False,False,10.3,67.0,0.011454879265436091
123,115.5,2864.5,8.4,28,5,1623.5,10.882352941176471,314.6152232198803,98.24632,340.70996,139.44174,21.189621,2.5478961,0.9846345,143.63109941195563,26.094737717619694,False,False,11.0,331.0,0.09102653766733163
124,253.5,2884.5,8.4,28,14,1625.5,28.785714285714285,120.21882513279955,263.8036,278.24634,176.02841,139.44174,3.1727111,2.5478961,143.58476373438793,158.02751275782543,False,False,28.9,121.0,0.004339860373335745
